10,940
20,930
30,1456
40,2020
50,2626
60,3496
70,4148
80,4862
90,6100
100,6992
110,8310
120,7528
130,8682
140,9560
150,11558
160,10598
170,12592
180,15280
190,13770
200,16458
210,16222
220,22036
230,22178
240,25426
250,31848
260,36802
270,28542
280,28816
290,27196
300,29166
310,28854
320,32200
330,29062
340,30068
350,31772
360,36846
370,55414
380,65198
390,45166
400,44618
410,37038
420,38474
430,59918
440,54248
450,53164
460,59104
470,60148
480,65192
490,52922
500,65700
510,56538
520,62496
530,58040
540,59476
550,63678
560,59860
570,88286
580,114728
590,78418
600,97150
610,99668
620,84056
630,82774
640,64984
650,72828
660,85644
670,87902
680,90562
690,96736
700,78936
710,147680
720,146292
730,155208
740,118718
750,128680
760,124756
770,117666
780,99808
790,105670
800,171408
810,109086
820,110868
830,124642
840,116828
850,130988
860,120908
870,203620
880,221148
890,168618
900,198598
910,168550
920,186628
930,135856
940,116064
950,139840
960,139094
970,161614
980,196056
990,147114
1000,196944
1010,230138
1020,162240
1030,211858
1040,240300
1050,210560
1060,256934
1070,202966
1080,160402
1090,200938
1100,229300
1110,232512
1120,159280
1130,256342
1140,267456
1150,180614
1160,186684
1170,258970
1180,179026
1190,201284
1200,282866
1210,242516
1220,197686
1230,296342
1240,352982
1250,321806
1260,214970
1270,274964
1280,210502
1290,310722
1300,280906
1310,305074
1320,225014
1330,241548
1340,309250
1350,244744
1360,282714
1370,250026
1380,397262
1390,344112
1400,288650
1410,349056
1420,434668
1430,309196
1440,270762
1450,375554
1460,316894
1470,317972
1480,227504
1490,282048
1500,360292
1510,319210
1520,319010
1530,477934
1540,373464
1550,422332
1560,536494
1570,436358
1580,283684
1590,397638
1600,323098
1610,495186
1620,280110
1630,305906
1640,320672
1650,473606
1660,456254
1670,322016
1680,286752
1690,431324
1700,331942
1710,396926
1720,482504
1730,500976
1740,371912
1750,514322
1760,412718
1770,314980
1780,659558
1790,561408
1800,665114
1810,769226
1820,461688
1830,418654
1840,429454
1850,436254
1860,777982
1870,547986
1880,467666
1890,956638
1900,634248
1910,962578
1920,1.0383e+06
1930,599706
1940,606854
1950,440436
1960,922962
1970,559028
1980,534354
1990,851238
2000,513496
2010,442618
2020,583138
2030,475970
2040,758464
2050,646420
2060,662492
2070,735418
2080,560178
2090,683790
2100,655306
2110,447374
2120,549700
2130,541496
2140,621192
2150,669692
2160,391228
2170,550742
2180,585316
2190,771110
2200,1.24045e+06
2210,853692
2220,737130
2230,685666
2240,452518
2250,566334
2260,494914
2270,454162
2280,791270
2290,1.08681e+06
2300,419368
2310,562554
2320,801548
2330,955318
2340,762596
2350,712414
2360,818980
2370,638072
2380,801282
2390,843890
2400,508708
2410,858016
2420,516118
2430,692124
2440,1.22921e+06
2450,742744
2460,1.06888e+06
2470,781054
2480,1.05248e+06
2490,815112
2500,954754
2510,993338
2520,680788
2530,613380
2540,929956
2550,730706
2560,957608
2570,969616
2580,1.49921e+06
2590,778742
2600,719452
2610,859298
2620,957622
2630,853854
2640,960372
2650,1.0712e+06
2660,1.29073e+06
2670,1.65035e+06
2680,859314
2690,722998
2700,1.10339e+06
2710,923180
2720,1.66588e+06
2730,945740
2740,1.80396e+06
2750,1.05402e+06
2760,1.29786e+06
2770,872174
2780,848700
2790,1.0756e+06
2800,714390
2810,1.1046e+06
2820,710174
2830,894672
2840,1.25731e+06
2850,1.75413e+06
2860,929250
2870,1.2078e+06
2880,936712
2890,1.21451e+06
2900,850924
2910,980642
2920,793426
2930,1.98888e+06
2940,1.30269e+06
2950,1.26733e+06
2960,1.32603e+06
2970,923886
2980,1.31341e+06
2990,756586
3000,999872
3010,1.37084e+06
3020,1.75225e+06
3030,845952
3040,1.26304e+06
3050,1.18212e+06
3060,1.25294e+06
3070,1.02189e+06
3080,1.04421e+06
