2930,1.96831e+07
2940,1.90133e+07
2950,1.92241e+07
2960,1.91961e+07
2970,1.92397e+07
2980,1.9392e+07
2990,1.95991e+07
3000,1.98556e+07
3010,2.02217e+07
3020,2.0113e+07
3030,2.01787e+07
3040,2.1095e+07
3050,2.08261e+07
3060,2.07285e+07
3070,2.09143e+07
3080,2.09154e+07
3090,2.1002e+07
3100,2.11041e+07
3110,2.13129e+07
3120,2.14082e+07
3130,2.14844e+07
3140,2.16515e+07
3150,2.17542e+07
3160,2.20567e+07
3170,2.25005e+07
3180,2.22634e+07
3190,2.24293e+07
3200,2.24933e+07
3210,2.27217e+07
3220,2.28767e+07
3230,2.29396e+07
3240,2.32374e+07
3250,2.31694e+07
3260,2.34252e+07
3270,2.37444e+07
3280,2.46673e+07
3290,2.46551e+07
3300,2.4599e+07
3310,2.4581e+07
3320,2.45194e+07
3330,2.53802e+07
3340,2.64121e+07
3350,2.5003e+07
3360,2.49991e+07
3370,2.50607e+07
3380,2.51717e+07
3390,2.52965e+07
3400,2.55925e+07
3410,2.6111e+07
3420,2.68229e+07
3430,2.6996e+07
3440,2.63802e+07
3450,2.63336e+07
3460,2.66699e+07
3470,2.74943e+07
3480,2.7238e+07
3490,2.69536e+07
3500,2.83257e+07
3510,2.75928e+07
3520,2.8807e+07
3530,2.9912e+07
3540,3.06611e+07
3550,2.84836e+07
3560,2.80058e+07
3570,2.96791e+07
3580,2.9387e+07
3590,2.88324e+07
3600,2.88871e+07
3610,2.86739e+07
3620,2.94072e+07
3630,2.97604e+07
3640,2.92012e+07
3650,2.93036e+07
3660,2.95587e+07
3670,3.03499e+07
3680,3.09696e+07
3690,3.02996e+07
3700,3.01873e+07
3710,3.03357e+07
3720,3.10647e+07
3730,3.19514e+07
3740,3.16792e+07
3750,3.23782e+07
3760,3.17898e+07
3770,3.23878e+07
3780,3.20515e+07
3790,3.23642e+07
3800,3.34674e+07
3810,3.38111e+07
3820,3.44746e+07
3830,3.32251e+07
3840,3.43107e+07
3850,3.27387e+07
3860,3.28381e+07
3870,3.30281e+07
3880,3.30068e+07
3890,3.36924e+07
3900,3.47287e+07
3910,3.43581e+07
3920,3.6365e+07
3930,3.47308e+07
3940,3.51469e+07
3950,3.50561e+07
3960,3.60735e+07
3970,3.57223e+07
3980,3.49517e+07
3990,3.55142e+07
4000,3.57644e+07
4010,3.59736e+07
4020,3.58928e+07
4030,3.59883e+07
4040,3.64954e+07
4050,3.67952e+07
4060,3.72951e+07
4070,3.97439e+07
4080,3.79957e+07
4090,3.82746e+07
4100,4.00247e+07
4110,3.87135e+07
4120,3.85618e+07
4130,3.88888e+07
4140,3.87457e+07
4150,3.88318e+07
4160,3.88989e+07
4170,3.92969e+07
4180,3.92148e+07
4190,4.01731e+07
4200,4.07652e+07
4210,4.06889e+07
4220,4.14755e+07
4230,4.21277e+07
4240,4.10265e+07
4250,4.1176e+07
4260,4.1302e+07
4270,4.24049e+07
4280,4.14989e+07
4290,4.18112e+07
4300,4.21597e+07
4310,4.1041e+07
4320,4.1308e+07
4330,4.13495e+07
4340,4.17534e+07
4350,4.15667e+07
4360,4.22361e+07
4370,4.20923e+07
4380,4.23024e+07
4390,4.26389e+07
4400,4.29935e+07
4410,4.27108e+07
4420,4.29019e+07
4430,4.32663e+07
4440,4.31507e+07
4450,4.3466e+07
4460,4.36103e+07
4470,4.45289e+07
4480,4.41985e+07
4490,4.43219e+07
4500,4.48532e+07
4510,4.4865e+07
4520,4.53354e+07
4530,4.52265e+07
4540,4.54506e+07
4550,4.5865e+07
4560,4.64895e+07
4570,4.61561e+07
4580,4.62513e+07
4590,4.64804e+07
4600,4.81888e+07
4610,4.71029e+07
4620,4.68963e+07
4630,4.71387e+07
4640,4.72999e+07
4650,4.75716e+07
4660,4.83667e+07
4670,4.8377e+07
4680,4.83191e+07
4690,4.83663e+07
4700,4.84208e+07
4710,4.87047e+07
4720,4.90109e+07
4730,4.9479e+07
4740,4.94419e+07
4750,4.98754e+07
4760,4.98875e+07
4770,5.04109e+07
4780,5.04442e+07
4790,5.06241e+07
4800,5.09568e+07
4810,5.09329e+07
4820,5.19327e+07
4830,5.11486e+07
4840,5.15558e+07
4850,5.20999e+07
4860,5.22227e+07
4870,5.21295e+07
4880,5.28092e+07
4890,5.28153e+07
4900,5.33078e+07
4910,5.30335e+07
4920,5.34031e+07
4930,5.3708e+07
4940,5.35914e+07
4950,5.39668e+07
4960,5.40759e+07
4970,5.43841e+07
4980,5.45811e+07
4990,5.50381e+07
5000,5.5206e+07
5010,5.5433e+07
5020,5.57847e+07
5030,5.56612e+07
5040,5.58098e+07
5050,5.62553e+07
5060,5.63746e+07
5070,5.68665e+07
5080,5.66969e+07
5090,5.70578e+07
5100,5.69852e+07
5110,5.72633e+07
5120,5.7964e+07
5130,5.76985e+07
5140,5.82411e+07
5150,5.82669e+07
5160,5.8603e+07
5170,5.88201e+07
5180,5.94556e+07
5190,5.92485e+07
5200,6.07589e+07
5210,5.99145e+07
5220,5.98697e+07
5230,6.12067e+07
